,key,type,name,currency_code,status,credit_interest_rate,debit_interest_rate,credit_line_amount,created_at,modified_at,id
0,KJI96,Savings Account,Regular Savings Account,INR,Active,5.08,0.0,0,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,PR00000001
1,DPV74,Savings Account,Salary Deposit Account for Employees,USD,Active,2.16,0.0,0,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,PR00000002
2,XYC63,Credit Card,Signature Business,INR,Active,0.0,9.91,90000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000001
3,JYA48,Credit Card,Black Business,USD,Active,0.0,8.52,63000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000002
4,BLG61,Credit Card,Silver Cashback,INR,Active,0.0,13.47,81000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000003
5,LIF80,Credit Card,Gold Cashback,USD,Active,0.0,12.07,80000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000004
6,QWW88,Credit Card,Platinum Cashback,INR,Active,0.0,9.05,56000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000005
7,EJC45,Credit Card,Diamond Cashback,USD,Active,0.0,9.5,59000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000006
8,RMA10,Credit Card,Silver Elite,INR,Active,0.0,12.17,98000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000007
9,JXQ61,Credit Card,Gold Elite,USD,Active,0.0,9.24,87000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000008
10,BVK86,Credit Card,Platinum Elite,INR,Active,0.0,11.71,68000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000009
11,EKB37,Credit Card,Diamond Elite,USD,Active,0.0,14.3,50000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000010
12,TMN40,Credit Card,Silver Rewards,INR,Active,0.0,12.22,92000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000011
13,SOY46,Credit Card,Gold Rewards,USD,Active,0.0,12.57,97000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000012
14,YTF30,Credit Card,Silver Platinum Rewards,INR,Active,0.0,13.23,91000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000013
15,IJO72,Credit Card,Gold Standard,USD,Active,0.0,9.73,85000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000014
16,OWV12,Credit Card,Platinum Standard,INR,Active,0.0,9.0,70000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000015
17,YOK66,Credit Card,Diamond Standard,USD,Active,0.0,10.78,62000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000016
18,AAL14,Credit Card,Infinite Standard,INR,Active,0.0,14.85,73000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000017
19,RGJ25,Credit Card,Silver Student,USD,Active,0.0,9.43,96000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000018
20,RAF49,Credit Card,Gold Student,INR,Active,0.0,14.01,95000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000019
21,SPX62,Credit Card,Platinum Student,JPY,Active,0.0,14.93,71000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000020
22,GGM41,Credit Card,Diamond Student,JPY,Active,0.0,10.3,79000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000021
23,MNA80,Credit Card,Signature Travel,GBP,Active,0.0,9.64,83000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000022
24,VUD86,Credit Card,Titanium Travel,EUR,Active,0.0,14.13,74000,2023-09-08 05:54:08.761975,2023-09-08 05:54:08.761975,CR00000023
25,ZBX77,Credit Card,Titanium Travel 2,GBP,Active,0.0,9.01,82000,2023-09-14 09:10:03.834842,2023-09-14 09:10:03.834842,CR00000024
